,precision,recall,f1-score,support
Apple,0.9899328859060402,0.9932659932659933,0.9915966386554622,297.0
Banana,0.9915254237288136,0.9790794979079498,0.9852631578947368,239.0
Burger,0.9969325153374233,0.9868421052631579,0.9918616480162767,988.0
Donut,0.9966329966329966,0.9944008958566629,0.9955156950672646,893.0
Ice Cream,0.9932998324958124,0.9983164983164983,0.9958018471872376,594.0
Pasta,0.9887359198998749,0.9937106918238994,0.9912170639899623,795.0
Pizza,0.9882451721242653,0.9949281487743026,0.991575400168492,1183.0
Salad,0.9900497512437811,1.0,0.995,199.0
Steak,1.0,0.9974874371859297,0.9987421383647799,398.0
Sushi,0.9985507246376811,0.9956647398843931,0.9971056439942113,692.0
accuracy,0.9934692577253903,0.9934692577253903,0.9934692577253903,0.9934692577253903
macro avg,0.9933905222006689,0.9933696008278787,0.9933679233338424,6278.0
weighted avg,0.9934889187519317,0.9934692577253903,0.9934686139799945,6278.0
